,Length,Width,Views from last 7 days,Price in Euros,clusters,cluster
1018,-0.6708639662878504,-0.5781582806074143,-0.7828668899717474,-0.23622284577124247,1,light pink
1019,-0.47363072817785895,-0.6292834911148527,-0.09612872395123845,-0.23622284577124247,1,light pink
1020,0.10941840553325549,0.018302508646038943,0.9564419230334669,-0.23622284577124247,0,beige
1021,0.005611438106944354,0.3165329032727655,-0.417034409007551,-0.23622284577124247,0,beige
1022,0.005611438106944354,0.27392856118323294,-0.5004698871221923,-0.23622284577124247,0,beige
1023,0.10941840553325549,0.10351119282510374,1.2131664710785168,-0.23622284577124247,0,beige
1024,0.10941840553325549,0.018302508646038943,1.0591317422514868,-0.23622284577124247,0,beige
1025,-0.5826280439754858,-0.40774091224928466,-0.5518147967312024,-0.23622284577124247,1,light pink
1026,-0.43210794120733476,-0.4247826490850976,-0.057620041744480946,-0.23622284577124247,1,light pink
1027,-0.7487191918575837,-0.8508260699804212,0.5200101913568818,-0.23622284577124247,1,light pink
1028,-0.3058094641719894,-0.45034525433881684,0.04506977747353908,-0.23622284577124247,1,light pink
1029,-0.509963166777068,-0.7144921752939175,-0.012693245836597181,-0.23622284577124247,1,light pink
1030,-0.6466423405550444,-0.7911799910550761,-0.5325604556278236,-0.23622284577124247,1,light pink
1031,0.14402072800869245,0.23132421909370074,0.5585188735636393,-0.23622284577124247,0,beige
1032,-0.011689723130774118,0.018302508646038943,-0.42987063640980355,-0.23622284577124247,0,beige
1033,-0.7729408175903897,-0.8508260699804212,-0.5839053652368336,-0.23564443897626952,1,light pink
1034,-0.6777844307829378,-0.8337843331446082,-0.057620041744480946,-0.23564443897626952,1,light pink
1035,0.24782769543500388,0.10351119282510374,-0.5518147967312024,-0.23564443897626952,0,beige
1036,0.01253190260203162,0.23984508751160702,-0.23090911167488973,-0.23564443897626952,0,beige
1037,-0.8248443013035454,-0.8337843331446082,-0.5710691378345811,-0.23564443897626952,1,light pink
1038,-0.7123867532583749,-0.808221727890889,0.1991045063005691,-0.23564443897626952,1,light pink
1039,-0.5393751408811895,-0.7570965173834501,2.856203578566837,-0.23564443897626952,4,dark purple
1040,0.5419474364762188,0.6658885084069306,1.6046714068472183,-0.23564443897626952,0,beige
1041,-0.686435011401797,-0.5952000174432271,0.7446441708963005,-0.23564443897626952,1,light pink
1042,-0.5653268827377674,-0.808221727890889,-0.8277936858796311,-0.23573119999551545,1,light pink
1043,-0.5999292052132044,-0.49294959642834946,-0.5518147967312024,-0.23584109728656033,1,light pink
1044,-0.9113501074921381,-0.7570965173834501,3.5878685404952297,-0.229194046398731,4,dark purple
1045,-0.7988925594469676,-0.8337843331446082,4.537749368261915,-0.229194046398731,4,dark purple
1046,-0.7123867532583749,-0.7741382542192631,0.22477696110507414,-0.23518171354029113,1,light pink
1047,-0.8421454625412639,-0.8337843331446082,-0.10896495135349095,-0.23518171354029113,1,light pink
1048,-0.32311062540970786,-0.6292834911148527,-0.0768743828478597,-0.23518171354029113,1,light pink
1049,-0.26255656107769304,0.052385982317664864,-0.6801770707537274,-0.23518171354029113,0,beige
1050,0.02291259934466283,0.18871987700416853,-0.4041981816052985,-0.23518171354029113,0,beige
1051,-0.09819552931936679,-0.27992788598068763,-0.4491249775131823,-0.23518171354029113,1,light pink
1052,-0.0895449487005077,-0.0839479123688388,-0.19881854316925848,-0.23518171354029113,0,beige
1053,-0.8456056947888075,-0.8678678068162342,-0.4876336597199398,-0.23518171354029113,1,light pink
1054,-0.7556396563526712,-0.49294959642834946,0.17985016519719038,-0.23518171354029113,1,light pink
1055,-0.8767477850167009,-0.8337843331446082,0.15417771039268535,-0.23518171354029113,1,light pink
1056,-0.15009901303252252,0.06090685073557115,-0.006275132135470929,-0.23518171354029113,0,beige
1057,-0.7037361726395156,-0.5952000174432271,-0.3721076130996673,-0.23518171354029113,1,light pink
1058,-0.8334948819224046,-0.7997008594729823,-0.6159959337424649,-0.23501975963769872,1,light pink
1059,-0.8334948819224046,-0.7997008594729823,-0.1025468376523647,-0.23501975963769872,1,light pink
1060,-0.8334948819224046,-0.7997008594729823,-0.262999680180521,-0.23501975963769872,1,light pink
1061,-0.8334948819224046,-0.7997008594729823,0.1092509144848016,-0.23501975963769872,1,light pink
1062,-0.39231527036058206,-0.06690617553302584,-0.6737589570526011,-0.23506603218129654,1,light pink
1063,-0.11030634218576982,0.7766597978397146,0.03223355007128658,-0.23506603218129654,0,beige
1064,-0.4096164315983005,-0.23732354389115506,-0.6865951844548536,-0.23506603218129654,1,light pink
1065,0.0402137605823813,0.1546364033325426,-0.6159959337424649,-0.23506603218129654,0,beige
1066,-0.4961222377868932,-0.41626178066719094,0.02581543637016033,-0.23506603218129654,1,light pink
1067,0.0402137605823813,0.41026245586973664,0.12850525558818035,-0.23506603218129654,0,beige
1068,-0.3490623672662857,-0.3651365701597524,-0.49405177342106604,-0.23506603218129654,1,light pink
1069,0.5973111524369182,0.6318050347353047,-0.46837931861656107,-0.23506603218129654,0,beige
1070,2.168256592821761,2.233728297301721,3.363234560955811,-0.23506603218129654,3,purple
1071,-0.34041178664742633,-0.40774091224928466,-0.05120192804335469,-0.23506603218129654,1,light pink
1072,-0.5653268827377674,-0.8337843331446082,-0.44270686381205604,-0.2326367236424101,1,light pink
1073,-0.23660481922111518,0.44434592954136254,0.21835884740394787,-0.23275240500140468,0,beige
1074,-0.6483724566788163,-0.6889295700401983,-0.7828668899717474,-0.23275240500140468,1,light pink
1075,-0.5999292052132044,-0.5696374121895076,-0.3528532719962885,-0.23275240500140468,1,light pink
1076,-0.39231527036058206,-0.40774091224928466,-0.7443582077649898,-0.23275240500140468,1,light pink
1077,1.060982273607775,0.23132421909370074,-0.545396683030076,-0.23275240500140468,0,beige
1078,-0.06013297459638621,-0.3395739649060328,-0.7251038666616111,-0.23275240500140468,1,light pink
1079,-0.6725940824116222,-0.808221727890889,-0.48121554601881356,-0.23281024568090197,1,light pink
1080,-0.6847048952780251,-0.8423052015625145,-0.42987063640980355,-0.2328680863603993,1,light pink
1081,-0.6725940824116222,-0.808221727890889,-0.8406299132818836,-0.2328680863603993,1,light pink
1082,-0.8940489462544194,-0.918993017323673,-0.4747974323176873,-0.22572499380520117,1,light pink
1083,-0.9113501074921381,-0.8337843331446082,-0.2758359075827735,-0.23308441050171916,1,light pink
